#1
double	HDU(8761,11) #T_Außen	Q_Lüftung	Q_Heizen/Kühlen	Raumtemperatur	Te_gl.Mittel	Q_el_need	CO2-Konzentration	Raumfeuchte	Stromverb	TWW-Verb	
0.00	1.9	-1.70	3.47	20.06	-2.98	3.96	1200.82	51.78	158.51	0.00	
3600.00	4.3	-1.48	4.97	19.99	-2.98	3.96	1207.32	51.92	117.04	0.00	
7200.00	6	-1.32	5.87	19.94	-2.98	4.03	1211.90	52.03	105.37	0.00	
10800.00	6.8	-1.25	6.56	19.91	-2.98	4.21	1215.13	52.14	102.58	0.00	
14400.00	7	-1.23	7.03	19.88	-2.98	4.61	1217.41	52.23	104.84	0.00	
18000.00	7.1	-1.22	6.82	19.86	-2.98	9.69	1219.01	52.30	125.25	0.00	
21600.00	7	-1.23	6.19	19.85	-2.98	11.21	1220.14	52.33	221.16	4.20	
25200.00	7.2	-1.21	6.03	19.85	-2.98	12.09	1184.49	52.33	308.75	70.00	
28800.00	7.1	-1.22	6.33	19.84	-2.98	8.33	1135.06	52.30	327.19	1.40	
32400.00	7	-1.23	6.47	19.84	-2.98	8.08	1075.94	52.18	323.56	1.40	
36000.00	7.3	-1.20	5.96	19.86	-2.98	7.84	997.82	51.96	314.28	1.40	
39600.00	7.4	-1.19	4.78	19.89	-2.98	7.97	942.77	51.74	317.14	1.40	
43200.00	7.4	-1.19	4.06	19.92	-2.98	11.77	903.98	51.52	356.05	22.40	
46800.00	7.6	-1.17	4.05	19.94	-2.98	7.28	876.64	51.37	346.65	1.40	
50400.00	7.7	-1.16	4.37	19.93	-2.98	6.76	893.83	51.36	301.72	1.40	
54000.00	7.6	-1.17	5.29	19.91	-2.98	6.69	905.94	51.39	269.89	1.40	
57600.00	7.5	-1.18	5.87	19.89	-2.98	7.12	914.47	51.44	252.64	1.40	
61200.00	7.3	-1.20	5.31	19.88	-2.98	11.96	969.09	51.48	276.85	1.40	
64800.00	7.5	-1.18	4.39	19.88	-2.98	13.00	1044.02	51.55	344.74	7.00	
68400.00	7.5	-1.18	4.25	19.88	-2.98	9.38	1096.83	51.61	409.18	7.00	
72000.00	7.6	-1.17	4.62	19.87	-2.98	8.86	1134.04	51.68	399.96	7.00	
75600.00	7.8	-1.15	5.15	19.87	-2.98	8.08	1160.27	51.76	371.16	7.00	
79200.00	7.7	-1.16	6.08	19.86	-2.98	7.00	1178.74	51.84	322.97	2.80	
82800.00	7.2	-1.21	7.35	19.84	-2.98	5.89	1191.77	51.99	238.60	0.00	
86400.00	7	-1.23	8.28	19.82	-0.60	5.20	1200.94	52.20	158.51	0.00	
90000.00	7.1	-1.22	8.81	19.80	-0.60	4.95	1207.41	52.38	117.04	0.00	
93600.00	7.4	-1.19	9.06	19.79	-0.60	4.88	1211.97	52.56	105.37	0.00	
97200.00	7.3	-1.20	9.28	19.78	-0.60	4.97	1215.18	52.76	102.58	0.00	
100800.00	7.7	-1.16	9.25	19.78	-0.60	5.20	1217.44	52.94	104.84	0.00	
104400.00	7.2	-1.21	8.83	19.77	-0.60	10.27	1219.03	53.11	125.25	0.00	
108000.00	7.1	-1.22	7.95	19.77	-0.60	11.71	1220.16	53.25	221.16	4.20	
111600.00	6.9	-1.24	7.77	19.77	-0.60	12.64	1184.50	53.34	308.75	70.00	
115200.00	6.6	-1.26	7.88	19.77	-0.60	8.82	1135.07	53.37	327.19	1.40	
118800.00	6.4	-1.28	7.23	19.80	-0.60	8.34	1075.94	53.30	323.56	1.40	
122400.00	6.6	-1.26	2.39	19.96	-0.60	6.81	997.82	52.74	314.28	1.40	
126000.00	8.3	-1.11	0.00	20.08	-0.60	6.58	942.77	52.33	317.14	1.40	
129600.00	8.2	-1.13	0.00	20.19	-0.60	10.53	903.98	51.93	356.05	22.40	
133200.00	8.1	-1.13	0.00	20.13	-0.60	6.11	876.64	52.03	346.65	1.40	
136800.00	8.4	-1.10	1.30	20.07	-0.60	5.87	893.83	52.16	301.72	1.40	
140400.00	8.3	-1.11	2.30	20.04	-0.60	5.81	905.94	52.22	269.89	1.40	
144000.00	8.6	-1.08	3.30	20.00	-0.60	6.33	914.47	52.32	252.64	1.40	
147600.00	8.4	-1.10	3.03	19.98	-0.60	11.18	969.09	52.47	276.85	1.40	
151200.00	8	-1.13	2.52	19.96	-0.60	12.41	1044.02	52.69	344.74	7.00	
154800.00	8.1	-1.12	2.58	19.95	-0.60	8.88	1096.83	52.90	409.18	7.00	
158400.00	9.2	-1.02	2.74	19.95	-0.60	8.28	1134.04	53.05	399.96	7.00	
162000.00	9.5	-1.00	3.28	19.95	-0.60	7.48	1160.27	53.19	371.16	7.00	
165600.00	9.1	-1.03	4.29	19.93	-0.60	6.43	1178.74	53.36	322.97	2.80	
169200.00	8.6	-1.08	5.59	19.91	-0.60	5.30	1191.77	53.52	238.60	0.00	
172800.00	8.6	-1.08	6.49	19.89	1.68	4.57	1200.94	53.73	158.51	0.00	
176400.00	8.8	-1.06	6.95	19.88	1.68	4.29	1207.41	53.88	117.04	0.00	
180000.00	9	-1.04	7.23	19.87	1.68	4.23	1211.97	54.03	105.37	0.00	
183600.00	9	-1.04	7.38	19.86	1.68	4.29	1215.18	54.17	102.58	0.00	
187200.00	8.8	-1.06	7.42	19.85	1.68	4.59	1217.44	54.32	104.84	0.00	
190800.00	8.7	-1.07	6.84	19.85	1.68	9.47	1219.03	54.45	125.25	0.00	
194400.00	8.9	-1.05	5.78	19.86	1.68	10.84	1220.16	54.54	221.16	4.20	
198000.00	8.3	-1.11	5.60	19.86	1.68	11.82	1184.50	54.61	308.75	70.00	
201600.00	5.1	-1.40	6.88	19.82	1.68	8.63	1135.07	54.67	327.19	1.40	
205200.00	6.1	-1.31	6.96	19.82	1.68	8.28	1075.94	54.61	323.56	1.40	
208800.00	6.5	-1.27	5.67	19.87	1.68	7.80	997.82	54.32	314.28	1.40	
212400.00	6.3	-1.29	1.10	20.01	1.68	6.91	942.77	53.64	317.14	1.40	
216000.00	6.8	-1.31	0.00	20.69	1.68	10.63	903.98	51.23	356.05	22.40	
219600.00	6.8	-1.36	0.00	21.24	1.68	6.11	876.64	49.26	346.65	1.40	
223200.00	6.9	-1.37	0.00	21.51	1.68	5.50	893.83	48.14	301.72	1.40	
226800.00	6.5	-1.37	0.00	21.14	1.68	5.16	905.94	48.91	269.89	1.40	
230400.00	5.9	-1.39	0.00	20.82	1.68	5.42	914.47	49.53	252.64	1.40	
234000.00	6.2	-1.35	0.00	20.70	1.68	10.49	969.09	49.68	276.85	1.40	
237600.00	6.4	-1.33	0.00	20.63	1.68	11.81	1044.02	49.73	344.74	7.00	
241200.00	3.3	-1.60	0.00	20.42	1.68	8.15	1096.83	50.28	409.18	7.00	
244800.00	2.6	-1.64	0.00	20.17	1.68	7.53	1134.04	50.96	399.96	7.00	
248400.00	3.8	-1.52	1.28	20.06	1.68	7.02	1160.27	51.22	371.16	7.00	
252000.00	3	-1.60	3.92	19.98	1.68	6.56	1178.74	51.40	322.97	2.80	
255600.00	3	-1.60	6.23	19.90	1.68	5.83	1191.77	51.52	238.60	0.00	
259200.00	3.3	-1.57	7.97	19.85	3.08	5.40	1200.94	51.59	158.51	0.00	
262800.00	2.6	-1.63	9.48	19.79	3.08	5.57	1207.41	51.68	117.04	0.00	
266400.00	2.7	-1.62	10.58	19.74	3.08	5.82	1211.97	51.74	105.37	0.00	
270000.00	2.8	-1.62	11.34	19.71	3.08	6.08	1215.18	51.75	102.58	0.00	
273600.00	2.7	-1.62	11.83	19.68	3.08	6.53	1217.44	51.76	104.84	0.00	
277200.00	2.7	-1.62	11.63	19.66	3.08	11.95	1219.03	51.74	125.25	0.00	
280800.00	3.1	-1.59	10.83	19.66	3.08	13.29	1220.16	51.67	221.16	4.20	
284400.00	3	-1.60	10.71	19.65	3.08	14.22	1184.50	51.58	308.75	70.00	
288000.00	2.6	-1.63	11.12	19.64	3.08	10.24	1135.07	51.51	327.19	1.40	
291600.00	2.1	-1.68	11.16	19.64	3.08	10.01	1075.94	51.36	323.56	1.40	
295200.00	2.7	-1.62	9.30	19.71	3.08	9.24	997.82	51.01	314.28	1.40	
298800.00	3.3	-1.57	6.52	19.80	3.08	8.74	942.77	50.62	317.14	1.40	
302400.00	4.3	-1.48	2.39	19.94	3.08	11.59	903.98	50.12	356.05	22.40	
306000.00	5.2	-1.39	4.12	19.92	3.08	7.39	876.64	50.10	346.65	1.40	
309600.00	5.8	-1.34	4.43	19.93	3.08	6.86	893.83	50.10	301.72	1.40	
313200.00	5.6	-1.36	5.92	19.89	3.08	6.99	905.94	50.21	269.89	1.40	
316800.00	5.2	-1.39	7.00	19.84	3.08	7.61	914.47	50.27	252.64	1.40	
320400.00	2.5	-1.64	7.70	19.79	3.08	13.39	969.09	50.38	276.85	1.40	
324000.00	2.8	-1.62	7.33	19.77	3.08	14.55	1044.02	50.49	344.74	7.00	
327600.00	2.7	-1.62	7.81	19.74	3.08	10.79	1096.83	50.56	409.18	7.00	
331200.00	2.5	-1.64	8.73	19.71	3.08	10.50	1134.04	50.65	399.96	7.00	
334800.00	2.6	-1.63	9.56	19.69	3.08	9.84	1160.27	50.69	371.16	7.00	
338400.00	1.9	-1.70	11.11	19.66	3.08	9.10	1178.74	50.77	322.97	2.80	
342000.00	1	-1.78	12.98	19.61	3.08	8.35	1191.77	50.85	238.60	0.00	
345600.00	0.5	-1.83	14.30	19.58	3.41	7.91	1200.94	50.89	158.51	0.00	
349200.00	0.5	-1.83	15.13	19.55	3.41	7.81	1207.41	50.91	117.04	0.00	
352800.00	-0.4	-1.91	16.14	19.51	3.41	8.20	1211.97	50.92	105.37	0.00	
356400.00	-0.1	-1.88	16.48	19.49	3.41	8.29	1215.18	50.90	102.58	0.00	
360000.00	-0.4	-1.91	16.95	19.47	3.41	8.79	1217.44	50.88	104.84	0.00	
363600.00	0.3	-1.85	16.36	19.46	3.41	14.12	1219.03	50.83	125.25	0.00	
367200.00	0.7	-1.81	15.35	19.47	3.41	15.35	1220.16	50.76	221.16	4.20	
370800.00	0.8	-1.80	14.99	19.47	3.41	16.15	1184.50	50.67	308.75	70.00	
374400.00	1	-1.78	14.79	19.48	3.41	11.72	1135.07	50.53	327.19	1.40	
378000.00	0.9	-1.79	13.60	19.53	3.41	11.01	1075.94	50.24	323.56	1.40	
381600.00	1.7	-1.72	11.85	19.60	3.41	10.23	997.82	49.83	314.28	1.40	
385200.00	2.3	-1.66	8.80	19.70	3.41	9.59	942.77	49.35	317.14	1.40	
388800.00	3	-1.60	2.89	19.90	3.41	11.89	903.98	48.58	356.05	22.40	
392400.00	3.9	-1.51	5.47	19.87	3.41	7.89	876.64	48.46	346.65	1.40	
396000.00	4	-1.50	5.96	19.86	3.41	7.44	893.83	48.33	301.72	1.40	
399600.00	3.9	-1.51	7.42	19.82	3.41	7.58	905.94	48.30	269.89	1.40	
403200.00	4.2	-1.49	8.33	19.79	3.41	8.10	914.47	48.27	252.64	1.40	
406800.00	4.3	-1.48	7.97	19.77	3.41	13.20	969.09	48.27	276.85	1.40	
410400.00	4.6	-1.45	7.16	19.77	3.41	14.23	1044.02	48.27	344.74	7.00	
414000.00	4.6	-1.45	7.16	19.76	3.41	10.43	1096.83	48.28	409.18	7.00	
417600.00	4.1	-1.50	7.88	19.74	3.41	10.08	1134.04	48.34	399.96	7.00	
421200.00	4	-1.50	8.68	19.73	3.41	9.42	1160.27	48.45	371.16	7.00	
424800.00	3.7	-1.53	9.85	19.71	3.41	8.48	1178.74	48.58	322.97	2.80	
428400.00	3.2	-1.58	11.41	19.67	3.41	7.54	1191.77	48.74	238.60	0.00	
432000.00	3.6	-1.54	11.86	19.66	3.56	7.35	1200.94	48.87	174.10	0.00	
435600.00	3.8	-1.52	12.54	19.64	3.56	6.82	1207.41	49.01	133.99	0.00	
439200.00	4	-1.50	12.88	19.63	3.56	6.59	1211.97	49.14	110.55	0.00	
442800.00	4.1	-1.50	13.14	19.62	3.56	6.57	1215.18	49.26	104.18	0.00	
446400.00	4.2	-1.49	13.47	19.61	3.56	6.61	1217.44	49.39	102.70	0.00	
450000.00	4.1	-1.50	13.60	19.60	3.56	10.90	1219.03	49.51	107.46	0.00	
453600.00	4.2	-1.49	13.36	19.60	3.56	11.36	1220.16	49.62	139.41	0.00	
457200.00	4.5	-1.46	12.75	19.61	3.56	12.47	1184.50	49.68	221.94	9.80	
460800.00	4.2	-1.49	11.77	19.61	3.56	10.04	1135.07	49.68	308.63	9.80	
464400.00	4.3	-1.48	10.41	19.64	3.56	11.17	1075.94	49.61	357.89	5.60	
468000.00	4.4	-1.47	8.72	19.68	3.56	11.77	997.82	49.44	388.59	5.60	
471600.00	4.3	-1.48	7.23	19.73	3.56	11.88	942.77	49.27	408.94	5.60	
475200.00	4.5	-1.46	6.71	19.77	3.56	14.91	903.98	49.13	431.67	5.60	
478800.00	5.3	-1.38	6.80	19.80	3.56	9.29	876.64	49.04	422.33	5.60	
482400.00	5.3	-1.38	7.32	19.80	3.56	8.33	893.83	49.06	383.83	5.60	
486000.00	5.1	-1.40	8.37	19.78	3.56	7.93	905.94	49.14	353.85	14.00	
489600.00	5.1	-1.40	9.11	19.76	3.56	8.07	914.47	49.22	348.73	14.00	
493200.00	5.1	-1.40	8.65	19.75	3.56	12.93	969.09	49.31	379.31	16.80	
496800.00	5.1	-1.40	7.90	19.74	3.56	13.90	1044.02	49.42	436.19	16.80	
500400.00	5	-1.41	7.81	19.74	3.56	10.15	1096.83	49.53	471.36	16.80	
504000.00	5.1	-1.40	8.12	19.74	3.56	9.68	1134.04	49.63	429.29	2.80	
507600.00	5.4	-1.37	8.56	19.73	3.56	9.00	1160.27	49.70	350.63	2.80	
511200.00	5.4	-1.37	9.39	19.72	3.56	8.00	1178.74	49.79	329.81	2.80	
514800.00	5.4	-1.37	10.30	19.71	3.56	6.92	1191.77	49.87	277.27	0.00	
518400.00	5.4	-1.37	10.65	19.70	4.22	6.76	1200.94	49.95	200.57	0.00	
522000.00	5.3	-1.38	11.32	19.69	4.22	6.25	1207.41	50.06	148.04	0.00	
525600.00	5.4	-1.37	11.67	19.68	4.22	6.04	1211.97	50.14	116.32	0.00	
529200.00	5.5	-1.37	11.89	19.67	4.22	6.00	1215.18	50.20	105.37	0.00	
532800.00	5.5	-1.37	12.06	19.67	4.22	6.00	1217.44	50.23	102.76	0.00	
536400.00	5.9	-1.33	11.88	19.67	4.22	9.99	1219.03	50.21	102.99	0.00	
540000.00	5.8	-1.34	11.56	19.67	4.22	10.47	1220.16	50.19	108.83	0.00	
543600.00	4.6	-1.45	11.38	19.66	4.22	12.01	1184.50	50.23	156.01	9.80	
547200.00	4.6	-1.45	10.34	19.67	4.22	9.53	1135.07	50.20	264.72	9.80	
550800.00	4.5	-1.46	9.17	19.69	4.22	10.75	1075.94	50.14	379.67	5.60	
554400.00	4.9	-1.42	7.64	19.73	4.22	11.38	997.82	49.98	440.48	5.60	
558000.00	5.7	-1.35	5.77	19.79	4.22	11.33	942.77	49.79	488.32	5.60	
561600.00	5.6	-1.36	5.32	19.83	4.22	14.32	903.98	49.69	494.56	5.60	
565200.00	6	-1.32	5.55	19.85	4.22	8.86	876.64	49.66	401.33	5.60	
568800.00	6.6	-1.26	4.94	19.89	4.22	7.52	893.83	49.64	324.28	5.60	
572400.00	6.1	-1.31	5.96	19.87	4.22	7.12	905.94	49.67	288.04	14.00	
576000.00	5.6	-1.36	7.29	19.83	4.22	7.46	914.47	49.69	255.37	14.00	
579600.00	5.2	-1.39	7.23	19.81	4.22	12.47	969.09	49.69	265.97	16.80	
583200.00	4.3	-1.48	6.95	19.79	4.22	13.72	1044.02	49.73	327.37	16.80	
586800.00	2.4	-1.65	7.78	19.75	4.22	10.34	1096.83	49.78	383.00	16.80	
590400.00	2.5	-1.64	8.58	19.73	4.22	10.05	1134.04	49.81	368.31	2.80	
594000.00	3.1	-1.59	9.34	19.71	4.22	9.46	1160.27	49.82	342.54	2.80	
597600.00	3.3	-1.57	10.31	19.69	4.22	8.50	1178.74	49.82	303.75	2.80	
601200.00	3.6	-1.54	11.32	19.67	4.22	7.44	1191.77	49.84	223.66	0.00	
604800.00	3.5	-1.55	12.26	19.65	4.71	6.81	1200.94	49.88	158.51	0.00	
608400.00	3.4	-1.56	12.85	19.64	4.71	6.61	1207.41	49.91	117.04	0.00	
612000.00	2.9	-1.61	13.40	19.62	4.71	6.75	1211.97	49.95	105.37	0.00	
615600.00	2.5	-1.64	13.83	19.60	4.71	6.97	1215.18	49.97	102.58	0.00	
619200.00	2.8	-1.62	13.84	19.59	4.71	7.20	1217.44	50.00	104.84	0.00	
622800.00	2.7	-1.62	13.33	19.59	4.71	12.52	1219.03	50.01	125.25	0.00	
626400.00	2.8	-1.62	12.40	19.59	4.71	13.88	1220.16	50.01	221.16	4.20	
630000.00	2.4	-1.65	12.19	19.59	4.71	14.84	1184.50	49.94	308.75	70.00	
633600.00	1.9	-1.70	12.45	19.58	4.71	10.77	1135.07	49.87	327.19	1.40	
637200.00	2.5	-1.64	11.75	19.61	4.71	10.16	1075.94	49.69	323.56	1.40	
640800.00	2.9	-1.61	7.73	19.75	4.71	8.70	997.82	49.15	314.28	1.40	
644400.00	3.5	-1.55	4.65	19.86	4.71	8.11	942.77	48.69	317.14	1.40	
648000.00	4.5	-1.46	1.49	19.98	4.71	11.28	903.98	48.23	356.05	22.40	
651600.00	3.4	-1.56	5.19	19.90	4.71	7.82	876.64	48.30	346.65	1.40	
655200.00	2.8	-1.62	5.30	19.90	4.71	7.29	893.83	48.24	301.72	1.40	
658800.00	2.7	-1.62	6.64	19.86	4.71	7.41	905.94	48.26	269.89	1.40	
662400.00	2.3	-1.66	8.40	19.79	4.71	8.29	914.47	48.37	252.64	1.40	
666000.00	2.5	-1.64	8.36	19.76	4.71	13.61	969.09	48.46	276.85	1.40	
669600.00	2.4	-1.65	8.01	19.74	4.71	14.84	1044.02	48.58	344.74	7.00	
673200.00	2.4	-1.65	8.24	19.72	4.71	10.95	1096.83	48.67	409.18	7.00	
676800.00	3.4	-1.56	8.63	19.71	4.71	10.38	1134.04	48.71	399.96	7.00	
680400.00	3.8	-1.52	9.27	19.70	4.71	9.63	1160.27	48.76	371.16	7.00	
684000.00	3.9	-1.51	10.20	19.69	4.71	8.57	1178.74	48.83	322.97	2.80	
687600.00	3.3	-1.57	11.61	19.66	4.71	7.59	1191.77	48.92	238.60	0.00	
691200.00	3	-1.60	12.74	19.64	4.10	7.03	1200.94	49.01	158.51	0.00	
694800.00	2.6	-1.63	13.49	19.61	4.10	6.93	1207.41	49.06	117.04	0.00	
698400.00	2.6	-1.63	13.93	19.60	4.10	6.97	1211.97	49.09	105.37	0.00	
702000.00	2.4	-1.65	14.38	19.58	4.10	7.17	1215.18	49.12	102.58	0.00	
705600.00	2.2	-1.67	14.57	19.56	4.10	7.53	1217.44	49.15	104.84	0.00	
709200.00	2.3	-1.66	14.12	19.56	4.10	12.88	1219.03	49.18	125.25	0.00	
712800.00	2.5	-1.64	13.17	19.56	4.10	14.20	1220.16	49.17	221.16	4.20	
716400.00	2.8	-1.62	12.64	19.57	4.10	14.91	1184.50	49.12	308.75	70.00	
720000.00	2.7	-1.62	12.63	19.57	4.10	10.73	1135.07	49.05	327.19	1.40	
723600.00	2.6	-1.63	12.64	19.58	4.10	10.45	1075.94	48.96	323.56	1.40	
727200.00	2.3	-1.66	12.12	19.61	4.10	10.24	997.82	48.77	314.28	1.40	
730800.00	2.7	-1.62	10.70	19.65	4.10	10.19	942.77	48.55	317.14	1.40	
734400.00	3	-1.60	8.16	19.73	4.10	13.65	903.98	48.20	356.05	22.40	
738000.00	3.4	-1.56	7.51	19.78	4.10	8.59	876.64	47.95	346.65	1.40	
741600.00	3.5	-1.55	7.66	19.79	4.10	8.03	893.83	47.85	301.72	1.40	
745200.00	3.5	-1.55	8.81	19.76	4.10	8.07	905.94	47.83	269.89	1.40	
748800.00	3.1	-1.59	10.01	19.72	4.10	8.76	914.47	47.86	252.64	1.40	
752400.00	1.6	-1.73	10.43	19.68	4.10	14.48	969.09	47.92	276.85	1.40	
756000.00	1.9	-1.70	10.83	19.63	4.10	15.90	1044.02	48.06	344.74	7.00	
759600.00	0	-1.87	12.01	19.58	4.10	12.53	1096.83	48.16	409.18	7.00	
763200.00	1	-1.78	12.19	19.57	4.10	11.86	1134.04	48.17	399.96	7.00	
766800.00	1.3	-1.75	13.68	19.53	4.10	11.41	1160.27	48.29	371.16	7.00	
770400.00	1.4	-1.75	14.36	19.52	4.10	10.29	1178.74	48.31	322.97	2.80	
774000.00	1.5	-1.74	16.20	19.48	4.10	9.41	1191.77	48.43	238.60	0.00	
777600.00	1.7	-1.72	16.62	19.47	3.45	8.54	1200.94	48.45	158.51	0.00	
781200.00	1	-1.78	17.37	19.45	3.45	8.53	1207.41	48.51	117.04	0.00	
784800.00	1.1	-1.77	17.73	19.44	3.45	8.52	1211.97	48.52	105.37	0.00	
788400.00	1.4	-1.75	17.49	19.44	3.45	8.40	1215.18	48.52	102.58	0.00	
792000.00	1.6	-1.73	17.39	19.44	3.45	8.60	1217.44	48.54	104.84	0.00	
795600.00	1.5	-1.74	16.71	19.44	3.45	13.96	1219.03	48.55	125.25	0.00	
799200.00	1.7	-1.72	15.70	19.45	3.45	15.24	1220.16	48.55	221.16	4.20	
802800.00	1.7	-1.72	15.27	19.46	3.45	16.04	1184.50	48.52	308.75	70.00	
806400.00	1.1	-1.77	15.16	19.47	3.45	11.83	1135.07	48.44	327.19	1.40	
810000.00	1.1	-1.77	14.63	19.49	3.45	11.35	1075.94	48.28	323.56	1.40	
813600.00	1.3	-1.75	13.06	19.55	3.45	10.70	997.82	47.99	314.28	1.40	
817200.00	1.7	-1.72	10.74	19.63	3.45	10.32	942.77	47.65	317.14	1.40	
820800.00	2.4	-1.65	3.13	19.88	3.45	12.03	903.98	46.87	356.05	22.40	
824400.00	3.5	-1.55	1.99	19.96	3.45	6.76	876.64	46.52	346.65	1.40	
828000.00	4.6	-1.45	2.18	19.99	3.45	6.19	893.83	46.37	301.72	1.40	
831600.00	4.7	-1.44	5.32	19.91	3.45	6.85	905.94	46.49	269.89	1.40	
835200.00	4.6	-1.45	6.73	19.86	3.45	7.56	914.47	46.56	252.64	1.40	
838800.00	4.9	-1.42	6.51	19.83	3.45	12.65	969.09	46.60	276.85	1.40	
842400.00	4.6	-1.45	6.05	19.82	3.45	13.87	1044.02	46.67	344.74	7.00	
846000.00	3.9	-1.51	6.49	19.79	3.45	10.26	1096.83	46.73	409.18	7.00	
849600.00	3.4	-1.56	7.39	19.77	3.45	9.97	1134.04	46.81	399.96	7.00	
853200.00	3.2	-1.58	8.46	19.74	3.45	9.42	1160.27	46.91	371.16	7.00	
856800.00	3.1	-1.59	9.71	19.71	3.45	8.49	1178.74	47.01	322.97	2.80	
860400.00	2.9	-1.61	11.14	19.68	3.45	7.48	1191.77	47.12	238.60	0.00	
864000.00	2.9	-1.61	12.25	19.66	3.13	6.88	1200.94	47.23	158.51	0.00	
867600.00	2.9	-1.61	12.92	19.64	3.13	6.70	1207.41	47.34	117.04	0.00	
871200.00	2.6	-1.63	13.55	19.61	3.13	6.84	1211.97	47.47	105.37	0.00	
874800.00	3.2	-1.58	13.69	19.60	3.13	6.82	1215.18	47.57	102.58	0.00	
878400.00	3.4	-1.56	13.65	19.60	3.13	7.05	1217.44	47.68	104.84	0.00	
882000.00	3.6	-1.54	12.97	19.60	3.13	12.22	1219.03	47.78	125.25	0.00	
885600.00	4.1	-1.50	11.80	19.61	3.13	13.42	1220.16	47.86	221.16	4.20	
889200.00	4.8	-1.43	11.07	19.63	3.13	14.01	1184.50	47.88	308.75	70.00	
892800.00	5.1	-1.40	10.78	19.65	3.13	9.85	1135.07	47.85	327.19	1.40	
896400.00	5	-1.41	10.57	19.66	3.13	9.50	1075.94	47.82	323.56	1.40	
900000.00	5.6	-1.36	9.57	19.70	3.13	9.06	997.82	47.67	314.28	1.40	
903600.00	7	-1.23	7.51	19.77	3.13	8.79	942.77	47.49	317.14	1.40	
907200.00	7	-1.23	6.28	19.82	3.13	12.47	903.98	47.38	356.05	22.40	
910800.00	7.1	-1.22	5.93	19.85	3.13	7.85	876.64	47.29	346.65	1.40	
914400.00	7.1	-1.22	5.93	19.86	3.13	7.24	893.83	47.31	301.72	1.40	
918000.00	7.2	-1.21	6.58	19.85	3.13	7.09	905.94	47.41	269.89	1.40	
921600.00	7.3	-1.20	6.96	19.84	3.13	7.45	914.47	47.51	252.64	1.40	
925200.00	7.1	-1.22	6.34	19.83	3.13	12.29	969.09	47.63	276.85	1.40	
928800.00	6.7	-1.25	5.50	19.83	3.13	13.43	1044.02	47.80	344.74	7.00	
932400.00	6.3	-1.29	5.52	19.83	3.13	9.81	1096.83	47.97	409.18	7.00	
936000.00	6.9	-1.24	5.80	19.82	3.13	9.25	1134.04	48.12	399.96	7.00	
939600.00	6.9	-1.24	6.36	19.82	3.13	8.48	1160.27	48.26	371.16	7.00	
943200.00	6.6	-1.26	7.35	19.81	3.13	7.45	1178.74	48.42	322.97	2.80	
946800.00	6.4	-1.28	8.47	19.79	3.13	6.29	1191.77	48.59	238.60	0.00	
950400.00	6.2	-1.30	9.41	19.77	3.77	5.61	1200.94	48.77	158.51	0.00	
954000.00	6.2	-1.30	9.96	19.76	3.77	5.38	1207.41	48.93	117.04	0.00	
957600.00	6.4	-1.28	10.25	19.74	3.77	5.33	1211.97	49.07	105.37	0.00	
961200.00	6.5	-1.27	10.42	19.74	3.77	5.39	1215.18	49.18	102.58	0.00	
964800.00	6.3	-1.29	10.47	19.73	3.77	5.69	1217.44	49.24	104.84	0.00	
968400.00	6.8	-1.25	9.72	19.73	3.77	10.60	1219.03	49.31	125.25	0.00	
972000.00	6.7	-1.25	8.76	19.74	3.77	12.01	1220.16	49.37	221.16	4.20	
975600.00	6.3	-1.29	8.52	19.74	3.77	12.96	1184.50	49.39	308.75	70.00	
979200.00	4.9	-1.42	8.94	19.73	3.77	9.29	1135.07	49.42	327.19	1.40	
982800.00	5.1	-1.40	8.97	19.73	3.77	8.99	1075.94	49.42	323.56	1.40	
986400.00	4.3	-1.48	8.70	19.75	3.77	8.90	997.82	49.33	314.28	1.40	
990000.00	4.5	-1.46	7.54	19.78	3.77	8.99	942.77	49.20	317.14	1.40	
993600.00	4.7	-1.44	6.67	19.81	3.77	12.91	903.98	49.06	356.05	22.40	
997200.00	5.4	-1.37	4.96	19.88	3.77	7.65	876.64	48.83	346.65	1.40	
1000800.00	5.3	-1.38	5.21	19.89	3.77	7.13	893.83	48.79	301.72	1.40	
1004400.00	5.4	-1.37	6.30	19.86	3.77	7.12	905.94	48.85	269.89	1.40	
1008000.00	3	-1.60	8.16	19.80	3.77	8.15	914.47	48.97	252.64	1.40	
1011600.00	2.8	-1.62	8.36	19.76	3.77	13.56	969.09	49.06	276.85	1.40	
1015200.00	3	-1.60	7.88	19.74	3.77	14.70	1044.02	49.15	344.74	7.00	
1018800.00	2.7	-1.62	8.13	19.72	3.77	10.89	1096.83	49.22	409.18	7.00	
1022400.00	2.7	-1.62	8.86	19.70	3.77	10.52	1134.04	49.28	399.96	7.00	
1026000.00	2.8	-1.62	9.76	19.68	3.77	9.89	1160.27	49.33	371.16	7.00	
1029600.00	2.7	-1.62	10.89	19.66	3.77	8.93	1178.74	49.37	322.97	2.80	
1033200.00	2.6	-1.63	12.16	19.64	3.77	7.86	1191.77	49.41	238.60	0.00	
1036800.00	2.3	-1.66	12.78	19.62	4.07	7.82	1200.94	49.43	174.10	0.00	
1040400.00	2.4	-1.65	13.51	19.60	4.07	7.32	1207.41	49.43	133.99	0.00	
1044000.00	3.4	-1.56	13.63	19.60	4.07	6.92	1211.97	49.37	110.55	0.00	
